
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
   153    47.000000      1.000000      48.000000   Etimer17         0     11100111001101001100110(30)(23)00(48)0(47)0
   154    47.000000      1.000000      48.000000   Etimer22         0     11100111001101001100110(31)(23)00(48)0(47)0
   155    48.000000      1.000000      49.000000   Etimer21         0     11100111001101001100110(31)(23)00(48)0(48)0
   156    48.000000      1.000000      49.000000   Etimer22         0     11100111001101001100110(31)(23)00(49)0(48)0
   157    48.000000      1.000000      49.000000   Etimer18         0     11100111001101001100110(31)(23)00(49)0(49)0
   158    48.000000      1.000000      49.000000   Etimer17         0     11100111001101001100110(31)(24)00(49)0(49)0
   159    49.000000      1.000000      50.000000   Etimer18         0     11100111001101001100110(32)(24)00(49)0(49)0
   160    49.000000      1.000000      50.000000   Etimer17         0     11100111001101001100110(32)(25)00(49)0(49)0
   161    49.000000      1.000000      50.000000   Etimer22         0     11100111001101001100110(33)(25)00(49)0(49)0
   162    49.000000      1.000000      50.000000   Etimer21         0     11100111001101001100110(33)(25)00(49)0(50)0
   163    50.000000      1.000000      51.000000   Etimer17         0     11100111001101001100110(33)(25)00(50)0(50)0
   164    50.000000      1.000000      51.000000   Etimer22         0     11100111001101001100110(34)(25)00(50)0(50)0
   165    50.000000      1.000000      51.000000   Etimer21         0     11100111001101001100110(34)(25)00(50)0(51)0
   166    50.000000      1.000000      51.000000   Etimer18         0     11100111001101001100110(34)(25)00(51)0(51)0
   167    51.000000      1.000000      52.000000   Etimer17         0     11100111001101001100110(34)(26)00(51)0(51)0
   168    51.000000      1.000000      52.000000   Etimer21         0     11100111001101001100110(35)(26)00(51)0(51)0
   169    51.000000      1.000000      52.000000   Etimer18         0     11100111001101001100110(35)(26)00(52)0(51)0
   170    51.000000      1.000000      52.000000   Etimer22         0     11100111001101001100110(35)(27)00(52)0(51)0
   171    52.000000      1.000000      53.000000   Etimer18         0     11100111001101001100110(35)(27)00(52)0(52)0
   172    52.000000      1.000000      53.000000   Etimer21         0     11100111001101001100110(35)(28)00(52)0(52)0
   173    52.000000      1.000000      53.000000   Etimer17         0     11100111001101001100110(35)(28)00(53)0(52)0
   174    52.000000      1.000000      53.000000   Etimer22         0     11100111001101001100110(36)(28)00(53)0(52)0
   175    53.000000      1.000000      54.000000   Etimer22         0     11100111001101001100110(36)(28)00(53)0(53)0
   176    53.000000      1.000000      54.000000   Etimer17         0     11100111001101001100110(36)(28)00(53)0(54)0
   177    53.000000      1.000000      54.000000   Etimer18         0     11100111001101001100110(37)(28)00(53)0(54)0
   178    53.000000      1.000000      54.000000   Etimer21         0     11100111001101001100110(37)(29)00(53)0(54)0
   179    54.000000      1.000000      55.000000   Etimer22         0     11100111001101001100110(37)(29)00(54)0(54)0
   180    54.000000      1.000000      55.000000   Etimer18         0     11100111001101001100110(37)(29)00(54)0(55)0
   181    54.000000      1.000000      55.000000   Etimer21         0     11100111001101001100110(37)(30)00(54)0(55)0
