
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
  1176   164.000000     55.000000     219.000000   T9               0     112002003140100000000111111100000011000001001(45)(87)(19)(131)(77)(107)(68)0(109)(150)(77)0(143)0(68)(45)
  1177   219.000000      1.000000     220.000000   Etimer45         0     112002003140100100000111110100000011001001001(45)(87)(19)(131)(77)(107)(68)0(109)(150)(77)0(143)0(68)(45)
  1178   219.000000      1.000000     220.000000   Etimer45         0     112002003140100100000111110100000011001001001(45)(87)(19)(131)(77)(107)(68)0(109)(150)(77)0(143)0(68)(46)
  1179   219.000000      1.000000     220.000000   Etimer39         0     112002003140100100000111110100000011001001001(46)(87)(19)(131)(77)(107)(68)0(109)(150)(77)0(143)0(68)(46)
  1180   219.000000      1.000000     220.000000   Etimer42         0     112002003140100100000111110100000011001001001(46)(87)(19)(131)(77)(107)(68)0(110)(150)(77)0(143)0(68)(46)
  1181   219.000000      1.000000     220.000000   Etimer36         0     112002003140100100000111110100000011001001001(46)(87)(19)(131)(77)(107)(68)0(110)(150)(77)0(144)0(68)(46)
  1182   219.000000      1.000000     220.000000   Etimer35         0     112002003140100100000111110100000011001001001(46)(87)(20)(131)(77)(107)(68)0(110)(150)(77)0(144)0(68)(46)
  1183   220.000000      1.000000     221.000000   Etimer36         0     112002003140100100000111110100000011001001001(46)(88)(20)(131)(77)(107)(68)0(110)(150)(77)0(144)0(68)(46)
  1184   220.000000      1.000000     221.000000   Etimer35         0     112002003140100100000111110100000011001001001(46)(88)(21)(131)(77)(107)(68)0(110)(150)(77)0(144)0(68)(46)
  1185   220.000000      1.000000     221.000000   Etimer42         0     112002003140100100000111110100000011001001001(46)(89)(21)(131)(77)(107)(68)0(110)(150)(77)0(144)0(68)(46)
  1186   220.000000      1.000000     221.000000   Etimer45         0     112002003140100100000111110100000011001001001(46)(89)(21)(131)(77)(107)(68)0(110)(150)(77)0(145)0(68)(46)
  1187   220.000000      1.000000     221.000000   Etimer39         0     112002003140100100000111110100000011001001001(47)(89)(21)(131)(77)(107)(68)0(110)(150)(77)0(145)0(68)(46)
  1188   220.000000      1.000000     221.000000   Etimer45         0     112002003140100100000111110100000011001001001(47)(89)(21)(131)(77)(107)(68)0(111)(150)(77)0(145)0(68)(46)
  1189   164.000000     57.000000     221.000000   T6               0     112002003140100100000111110100000011001001001(47)(89)(21)(131)(77)(107)(68)0(111)(150)(77)0(145)0(68)(47)
  1190   221.000000      1.000000     222.000000   Etimer38         0     112002003140101100000110110100000011011001001(47)(89)(21)(131)(77)(107)(68)0(111)(150)(77)0(145)0(68)(47)
  1191   221.000000      1.000000     222.000000   Etimer35         0     112002003140101100000110110100000011011001001(47)(89)(21)(131)(77)(108)(68)0(111)(150)(77)0(145)0(68)(47)
  1192   221.000000      1.000000     222.000000   Etimer45         0     112002003140101100000110110100000011011001001(47)(90)(21)(131)(77)(108)(68)0(111)(150)(77)0(145)0(68)(47)
  1193   221.000000      1.000000     222.000000   Etimer39         0     112002003140101100000110110100000011011001001(47)(90)(21)(131)(77)(108)(68)0(111)(150)(77)0(145)0(68)(48)
  1194   221.000000      1.000000     222.000000   Etimer45         0     112002003140101100000110110100000011011001001(47)(90)(21)(131)(77)(108)(68)0(112)(150)(77)0(145)0(68)(48)
  1195   221.000000      1.000000     222.000000   Etimer42         0     112002003140101100000110110100000011011001001(48)(90)(21)(131)(77)(108)(68)0(112)(150)(77)0(145)0(68)(48)
  1196   221.000000      1.000000     222.000000   Etimer36         0     112002003140101100000110110100000011011001001(48)(90)(21)(131)(77)(108)(68)0(112)(150)(77)0(146)0(68)(48)
  1197   222.000000      1.000000     223.000000   Etimer39         0     112002003140101100000110110100000011011001001(48)(90)(22)(131)(77)(108)(68)0(112)(150)(77)0(146)0(68)(48)
  1198   222.000000      1.000000     223.000000   Etimer42         0     112002003140101100000110110100000011011001001(48)(90)(22)(131)(77)(108)(68)0(113)(150)(77)0(146)0(68)(48)
  1199   222.000000      1.000000     223.000000   Etimer36         0     112002003140101100000110110100000011011001001(48)(90)(22)(131)(77)(108)(68)0(113)(150)(77)0(147)0(68)(48)
  1200   222.000000      1.000000     223.000000   Etimer35         0     112002003140101100000110110100000011011001001(48)(90)(23)(131)(77)(108)(68)0(113)(150)(77)0(147)0(68)(48)
  1201   222.000000      1.000000     223.000000   Etimer45         0     112002003140101100000110110100000011011001001(48)(91)(23)(131)(77)(108)(68)0(113)(150)(77)0(147)0(68)(48)
  1202   222.000000      1.000000     223.000000   Etimer45         0     112002003140101100000110110100000011011001001(48)(91)(23)(131)(77)(108)(68)0(113)(150)(77)0(147)0(68)(49)
  1203   222.000000      1.000000     223.000000   Etimer38         0     112002003140101100000110110100000011011001001(49)(91)(23)(131)(77)(108)(68)0(113)(150)(77)0(147)0(68)(49)
  1204   223.000000      1.000000     224.000000   Etimer36         0     112002003140101100000110110100000011011001001(49)(91)(23)(131)(77)(109)(68)0(113)(150)(77)0(147)0(68)(49)
